available_date,year_month,year,month,delayed_mw,gia_delayed_mw,shift_in_mw,n_generators,n_delayed,gia_n,planned_mw,origin_split,n_snapshots
2022-03-01,2022-03,2022,3,0.0,0.0,0.0,382,0,0,46244.0,train,18
2022-06-01,2022-06,2022,6,3171.5,0.0,10683.4,359,17,0,43524.399999999994,train,18
2022-09-01,2022-09,2022,9,4784.3,0.0,8629.5,405,22,0,60010.600000000006,train,18
2022-12-01,2022-12,2022,12,7894.1,0.0,13851.499999999998,416,41,0,59672.3,train,18
2023-03-01,2023-03,2023,3,12220.0,0.0,19465.9,488,90,0,68625.2,val,18
2023-06-01,2023-06,2023,6,18564.100000000002,0.0,14938.7,513,113,0,72192.0,val,18
2023-09-01,2023-09,2023,9,18733.4,0.0,7159.7,548,120,0,80176.70000000001,val,18
2023-12-01,2023-12,2023,12,25299.4,0.0,16702.8,516,143,0,76916.1,val,18
2024-03-01,2024-03,2024,3,30141.800000000003,512.6,19216.5,525,167,19,77422.4,test,18
2024-06-01,2024-06,2024,6,36080.7,221.1,21447.699999999997,606,199,17,84669.20000000001,test,18
2024-09-01,2024-09,2024,9,38372.7,221.1,23471.0,653,215,18,90691.5,test,18
2024-12-01,2024-12,2024,12,39886.700000000004,544.3,18414.9,755,221,17,113715.0,test,18
2025-03-01,2025-03,2025,3,39110.399999999994,553.3,16702.3,794,227,19,121597.9,score,18
2025-06-01,2025-06,2025,6,40862.3,558.6,15891.699999999999,796,247,18,121244.29999999999,score,18
2025-09-01,2025-09,2025,9,41778.9,395.1,14123.1,793,256,14,124244.5,score,18
2025-12-01,2025-12,2025,12,42303.100000000006,395.1,19346.8,838,268,13,128602.29999999999,score,18
2026-03-01,2026-03,2026,3,44763.399999999994,2300.0,33657.0,1069,277,68,150207.8,score,18
2026-06-01,2026-06,2026,6,41665.899999999994,2032.0,21723.5,1049,268,57,151615.8,score,18
