model,pr_auc,pr_lift,roc_auc,log_loss,brier,ece,precision_at_10pct,recall_at_10pct,withdrawn_mw_capture_at_10pct,positive_rate,n_features,best_iteration,status,dump,dump_reason,flag_rate_at_0_5,mean_y_prob,strong
catboost_unweighted_seed2026,0.07366807897508879,1.7787104285869264,0.64423783724919,0.19272815339607394,0.04740147366591652,0.03050145418438087,0.08383233532934131,0.2028985507246377,0.16303240269003463,0.04141656662665066,64.0,498.0,ok,False,,0.01020408163265306,0.07191802081103152,False
catboost_trial149_seed42,0.14437253580115145,3.4858644151408456,0.7936937918016571,0.18725760666721541,0.04237708751643873,0.06786651004022104,0.15568862275449102,0.37681159420289856,0.33523537803138376,0.04141656662665066,64.0,55.0,ok,False,,0.0,0.10908757711130333,True
catboost_trial149_seed123,0.05784493252986672,1.3966617042718545,0.568302886753242,0.19781385943373747,0.0449998508975504,0.06024672229410435,0.059880239520958084,0.14492753623188406,0.13399225596087222,0.04141656662665066,64.0,70.0,ok,False,,0.0,0.101663288920755,False
catboost_seed_bag_42_123_2026,0.09661049204448474,2.332653329653791,0.7245514687865835,0.18307884627599966,0.042268593779294886,0.05280639565437929,0.10179640718562874,0.2463768115942029,0.19818626452007337,0.04141656662665066,,,ok,,,,,False
catboost_shap_trim,0.05416922154201463,1.3079119288260346,0.5956185964625702,0.20811112278204427,0.04861910558962139,0.07411506459525458,0.059880239520958084,0.14492753623188406,0.13806806602812308,0.04141656662665066,52.0,105.0,ok,False,,0.004201680672268907,0.11553163122190523,False
catboost_perm_trim,0.04050507134010969,0.9779920123568514,0.47620084760374976,0.1888043119236238,0.042660188043362204,0.03595596488178778,0.041916167664670656,0.10144927536231885,0.06826981862645201,0.04141656662665066,52.0,62.0,ok,False,,0.0,0.07737253150843844,False
catboost_mw_sample_weight,0.04201112610220258,1.0143555954531813,0.48005317942156034,0.2168672623514116,0.04989049920553436,0.0713482031250574,0.041916167664670656,0.10144927536231885,0.10189525168127166,0.04141656662665066,64.0,86.0,ok,False,,0.0,0.11276476975170807,False
catboost_drop_sparse,0.0688605978615905,1.6626341454697071,0.627244924813736,0.2096104738907192,0.05133071836571161,0.07279345409828154,0.07784431137724551,0.18840579710144928,0.16863664153250457,0.04141656662665066,59.0,195.0,ok,False,,0.009603841536614645,0.11421002072493218,False
catboost_drop_news_drift,0.055418733433184375,1.338081302893988,0.602052761972176,0.18940568370588984,0.04278712053774062,0.04954925101916843,0.05389221556886228,0.13043478260869565,0.10699001426533523,0.04141656662665066,60.0,74.0,ok,False,,0.0,0.09096581764581908,False
catboost_monotone,0.07450386054541654,1.798890314038608,0.6297813835724593,0.2102838220570435,0.05290083071748701,0.06688472467832905,0.07784431137724551,0.18840579710144928,0.1977786835133483,0.04141656662665066,64.0,406.0,ok,False,,0.017406962785114045,0.10830129130497972,False
catboost_auto_class_weights,0.048560534981758316,1.172490598255208,0.5779269100578076,0.41557221243984743,0.13152302027017607,0.24275395891362783,0.03592814371257485,0.08695652173913043,0.08202567760342368,0.04141656662665066,64.0,176.0,ok,True,mean_y_prob=0.284 vs prevalence=0.041,0.14345738295318128,0.2841705255402785,False
catboost_focal,0.06083085834025943,1.468756666592351,0.6512391894221956,0.32787329153674505,0.08187515587513705,0.20532651394612972,0.029940119760479042,0.07246376811594203,0.056042388424699406,0.04141656662665066,64.0,192.0,ok,False,,0.0,0.24674308057278038,False
lightgbm_default,0.045588377079022094,1.100728061067403,0.5371166952528745,0.21515757796232463,0.04692720188581686,0.0852394297125626,0.023952095808383235,0.057971014492753624,0.06113715100876299,0.04141656662665066,85.0,1.0,ok,,,,,False
lightgbm_logloss_focus,0.03774573696739762,0.9113680838794846,0.44283665931592747,0.21373899189505333,0.04660416394832327,0.08289442738083369,0.0,0.0,0.0,0.04141656662665066,85.0,1.0,ok,,,,,False
xgboost_default,0.04173486790708831,1.007685361350857,0.45768333741707734,0.21394487501763004,0.04665497253307902,0.0829731470727477,0.04790419161676647,0.11594202898550725,0.07896882005298553,0.04141656662665066,85.0,0.0,ok,,,,,False
xgboost_logloss_focus,0.0989521044868608,2.3891913923929002,0.7666866316372184,0.21299527597783544,0.04644208133661673,0.08268448343279125,0.12574850299401197,0.30434782608695654,0.28082331363358465,0.04141656662665066,85.0,0.0,ok,,,,,False
logistic_current,0.03703500665390885,0.894207551962495,0.4684371965551351,0.2916422645512057,0.07569106934586285,0.1470830661551071,0.023952095808383235,0.057971014492753624,0.04483391073975953,0.04141656662665066,,,ok,,,,,False
logistic_pls,0.03930302064227898,0.948968585362852,0.48469957256813045,0.317321189844541,0.08453792177703455,0.1735192200518992,0.041916167664670656,0.10144927536231885,0.09578153658039536,0.04141656662665066,,,ok,,,,,False
logistic_pca,0.04056752195628943,0.9794998779591043,0.49842095232909533,0.35913602849950416,0.09942536083944405,0.21633407426405102,0.029940119760479042,0.07246376811594203,0.06062767475035663,0.04141656662665066,,,ok,,,,,False
