,perm_pr_auc_drop
interest_rate_change_since_entry,0.06595023811770055
population,0.019829202001685416
avg_active_project_mw_state,0.01858215437868722
fema_risk_score,0.014721657129373586
nearby_mtep_upgrade_count,0.014557153233917555
months_until_service,0.013594738627796754
queue_age_months,0.01327538082074406
nearby_queue_mw,0.013129963529346996
developer_active_project_count,0.012876187054481908
state_code,0.012662831733445368
upgrade_cost_per_mw,0.011596368801246685
network_upgrade_cost,0.011149455196797775
other_active_projects_same_state,0.010921287395279228
nearby_transmission_voltage,0.009431980057009922
developer_avg_active_project_mw,0.009088402110798857
storm_property_damage_12m,0.007020514314114022
is_hybrid,0.006728245834969587
rural_flag,0.0056328417300317195
other_active_projects_same_poi,0.004839527894554325
developer_prior_withdrawal_rate,0.004353422967347605
developer_prior_completion_rate,0.003796644543354969
capacity_reduction_pct,0.0013466223649026832
other_active_mw_same_poi,0.001129234832509855
distance_to_transmission_km,0.00028040048850441757
dpp_delay_info_available,7.759025141879095e-05
miso_demand_yoy_pct,0.0
miso_generation_yoy_pct,0.0
population_yoy_pct_missing,0.0
interest_rate_at_observation,0.0
upgrade_cost_per_mw_missing,0.0
network_upgrade_cost_missing,0.0
capacity_reduction_pct_missing,0.0
negative_news_share_90d,0.0
news_recent_intensity,0.0
eia_yoy_available,0.0
miso_peak_demand_mw,0.0
news_sentiment_mean_90d,0.0
avg_withdrawn_mw_12m,0.0
service_date_passed,0.0
prior_12m_withdrawal_count,0.0
construction_cost_index_change_12m,0.0
miso_mean_demand_mw,0.0
news_count_90d,0.0
miso_net_interchange_mw,0.0
study_delay_days,-0.00020613836754741302
restudy_count,-0.00041698259175410035
cost_change_since_previous_study_missing,-0.00042430758978989624
capacity_change_pct,-0.0004717614727103488
service_date_shift_months,-0.0006467766773823232
other_active_mw_same_technology,-0.0008546013914735954
storm_events_12m,-0.0009312498910315677
cost_change_since_previous_study,-0.0013602595626680813
project_change_history_available,-0.001630728891428318
dpp_event_count_to_date_missing,-0.0016317883412264405
dpp_event_count_to_date,-0.0018091160019276242
extreme_weather_days_12m,-0.0019812278811229267
service_type,-0.002140651584082174
mtep_investment_nearby_usd,-0.005258069907043463
technology_primary,-0.0060072964589553786
interest_rate_at_entry,-0.008411762098228711
log1p_capacity_mw,-0.021570556053397954
population_change_since_2020,-0.024351206100825057
population_yoy_pct,-0.029626590798073876
study_phase,-0.06527619763600742
