,mean_abs_shap
months_until_service,0.27620677826842155
queue_age_months,0.2543977995590862
population_change_since_2020,0.24317182135057896
interest_rate_change_since_entry,0.2394121034089781
study_phase,0.23811824635290302
news_sentiment_mean_90d,0.20466188874715627
log1p_capacity_mw,0.20361776004747031
news_recent_intensity,0.18723983984909814
population_yoy_pct,0.17398292987480762
distance_to_transmission_km,0.15934028556852756
upgrade_cost_per_mw,0.1540964674156124
fema_risk_score,0.147808029884894
population,0.14434395192874744
avg_active_project_mw_state,0.13486459475444218
storm_property_damage_12m,0.1338901660993919
construction_cost_index_change_12m,0.11616560980916148
negative_news_share_90d,0.11403116465897148
storm_events_12m,0.09964134639509956
developer_active_project_count,0.09130069765487488
other_active_mw_same_technology,0.0899555394185856
news_count_90d,0.08031405346026543
technology_primary,0.07816135437714003
developer_avg_active_project_mw,0.06941476470082612
developer_prior_withdrawal_rate,0.06804528778768958
avg_withdrawn_mw_12m,0.06393552978158992
service_type,0.06382523792644765
dpp_event_count_to_date,0.0629693426038353
is_hybrid,0.06295245024793203
nearby_queue_mw,0.05924423729205375
other_active_projects_same_state,0.05872339537957267
interest_rate_at_observation,0.05440768287717252
nearby_transmission_voltage,0.05431220060641851
nearby_mtep_upgrade_count,0.054003029281881124
state_code,0.04861022772116354
mtep_investment_nearby_usd,0.04709455852139729
other_active_mw_same_poi,0.04576469056680693
extreme_weather_days_12m,0.04383268288200953
prior_12m_withdrawal_count,0.043196429755744344
restudy_count,0.03974929879104859
interest_rate_at_entry,0.039299109885280056
study_delay_days,0.037127638678615155
other_active_projects_same_poi,0.03556452295947486
developer_prior_completion_rate,0.03155765714786969
network_upgrade_cost,0.02654758075070114
dpp_event_count_to_date_missing,0.02287835809622356
eia_yoy_available,0.021673082022994162
capacity_reduction_pct,0.021458894795747314
cost_change_since_previous_study,0.018707216633748847
rural_flag,0.014448985627355738
project_change_history_available,0.01402040865930694
capacity_change_pct,0.011380872933015729
miso_generation_yoy_pct,0.009583126746350555
miso_demand_yoy_pct,0.00947632860718908
miso_net_interchange_mw,0.008174143749318725
dpp_delay_info_available,0.007344334826389357
cost_change_since_previous_study_missing,0.006824636217803883
miso_peak_demand_mw,0.0038386894351484808
service_date_shift_months,0.003748461164554332
miso_mean_demand_mw,0.0029589142091745553
upgrade_cost_per_mw_missing,0.0
population_yoy_pct_missing,0.0
capacity_reduction_pct_missing,0.0
network_upgrade_cost_missing,0.0
service_date_passed,0.0
