document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible
GI DPP 2025 ALL SIS Ph1 FINAL v1.0 PUBLIC 20260324,https://cdn.misoenergy.org/GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324748615.zip,2025 Cycle,General Documents,Phase1,DPP Phase 1 System Impact Study,2026-03-24,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,748615,GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324.zip,zip,Definitive Planning Phase (DPP),2026-04-01T21:18:55.413181Z,True
GI DPP 2023 ALL Ph1 SIS Report v1.0 FINAL PUBLIC 20251203,https://cdn.misoenergy.org/GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203730460.zip,2023 Cycle,General Documents,Phase1,DPP Phase 1 System Impact Study,2025-12-03,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,730460,GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203.zip,zip,Definitive Planning Phase (DPP),2025-12-04T16:51:48.646673Z,True
GI DPP 2021 Central Ph2 SIS Report v1.0 FINAL PUBLIC 20251126,https://cdn.misoenergy.org/GI-DPP-2021-Central_Ph2_SIS-Report_v1.0_FINAL_PUBLIC_20251126729800.zip,2021 Cycle,Central,Phase2,DPP Phase 2 System Impact Study,2025-11-26,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,729800,GI-DPP-2021-Central_Ph2_SIS-Report_v1.0_FINAL_PUBLIC_20251126.zip,zip,Definitive Planning Phase (DPP),2025-11-26T22:32:15.879163Z,True
Final System Impact Study Report-DPP 2021 Cycle Phase 3_PUBLIC_20251105.pdf,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,726302,Final System Impact Study Report-DPP 2021 Cycle Phase 3_PUBLIC_20251105.pdf,pdf,Definitive Planning Phase (DPP),2025-11-05T18:40:30.865637Z,True
GI DPP 2019 Central Ph3 SIS Report R13 Public 08282025,https://cdn.misoenergy.org/GI-DPP-2019-Central_Ph3_SIS_Report_R13_Public_20250828716336.zip,2019 Cycle 1,Central,Phase3,DPP Phase 3 Final Study,2025-08-28,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,716336,GI-DPP-2019-Central_Ph3_SIS_Report_R13_Public_20250828.zip,zip,Definitive Planning Phase (DPP),2025-10-07T18:06:27.500725Z,True
GI-DPP-2022-Ph1-All-Regions_SIS_Report_R1_PUBLIC_20250715.zip,https://cdn.misoenergy.org/GI-DPP-2022-Ph1-All-Regions_SIS_Report_R1_PUBLIC_20250715707921.zip,2022 Cycle,General Documents,Phase1,DPP Phase 1 System Impact Study,2025-07-15,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,707921,GI-DPP-2022-Ph1-All-Regions_SIS_Report_R1_PUBLIC_20250715.zip,zip,Definitive Planning Phase (DPP),2025-07-15T14:57:15.283071Z,True
GI-DPP-2021 West Phase 2 System Impact Study Final Report_20250623 - PUBLIC.pdf,https://cdn.misoenergy.org/GI-DPP-2021%20West%20Phase%202%20System%20Impact%20Study%20Final%20Report_20250623%20-%20PUBLIC704357.pdf,2021 Cycle,West,Phase2,DPP Phase 2 System Impact Study,2025-06-23,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,704357,GI-DPP-2021 West Phase 2 System Impact Study Final Report_20250623 - PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-06-24T15:22:46.352103Z,True
GI DPP 2017 FEB West Phase3 System Impact Report PUBLIC,https://cdn.misoenergy.org/GI-DPP-2017-FEB-West-Phase3_System_Impact_Report_PUBLIC391580.pdf,DPP-2017-FEB,West,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,391580,GI-DPP-2017-FEB-West-Phase3_System_Impact_Report_PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:29.580196Z,False
GI DPP 2016 FEB West Phase2 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-FEB-West-Phase2-Final-Public394320.pdf,DPP-2016-FEB,West,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,394320,GI-DPP-2016-FEB-West-Phase2-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:29.445939Z,False
GI DPP 2016 FEB West Phase3 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-FEB-West-Phase3-Final-Public394321.pdf,DPP-2016-FEB,West,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,394321,GI-DPP-2016-FEB-West-Phase3-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:29.257388Z,False
GI DPP 2016 AUG West Phase1 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-AUG-West-Phase1-Final-Public394322.pdf,DPP-2016-AUG,West,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,394322,GI-DPP-2016-AUG-West-Phase1-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:29.125437Z,False
GI DPP 2016 AUG West Phase2 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-AUG-West-Phase2-Final-Public394323.pdf,DPP-2016-AUG,West,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,394323,GI-DPP-2016-AUG-West-Phase2-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.99188Z,False
GI DPP 2016 AUG West Phase3 Final Public,https://cdn.misoenergy.org/GI-DPP-2016-AUG-West-Phase3-Final-Public394324.pdf,DPP-2016-AUG,West,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,394324,GI-DPP-2016-AUG-West-Phase3-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.866546Z,False
GI DPP 2016 FEB West Phase1 Final Public,https://cdn.misoenergy.org/GI-DPP-2016_FEB_West-Phase1-Final-Public394325.pdf,DPP-2016-FEB,West,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,394325,GI-DPP-2016_FEB_West-Phase1-Final-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:01:28.73657Z,False
