document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible,local_path,download_status,source_file,zip_member
GI DPP 2025 ALL SIS Ph1 FINAL v1.0 PUBLIC 20260324 :: GI DPP 2025 Cycle 1 SIS Phase 1 Final Report.pdf,https://cdn.misoenergy.org/GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324748615.zip,2025 Cycle,General Documents,Phase1,DPP Phase 1 System Impact Study,2026-03-24,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,748615,GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324.zip,zip,Definitive Planning Phase (DPP),2026-04-01T21:18:55.413181Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/748615_GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324.zip__GI_DPP_2025_Cycle_1_SIS_Phase_1_Final_Report.pdf.pdf,ok_from_zip,748615_GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324.zip__GI_DPP_2025_Cycle_1_SIS_Phase_1_Final_Report.pdf.pdf,GI DPP 2025 Cycle 1 SIS Phase 1 Final Report.pdf
GI DPP 2023 ALL Ph1 SIS Report v1.0 FINAL PUBLIC 20251203 :: GI DPP 2023 Cycle 1 SIS Phase 1 Final Report.pdf,https://cdn.misoenergy.org/GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203730460.zip,2023 Cycle,General Documents,Phase1,DPP Phase 1 System Impact Study,2025-12-03,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,730460,GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203.zip,zip,Definitive Planning Phase (DPP),2025-12-04T16:51:48.646673Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/730460_GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203.zip__GI_DPP_2023_Cycle_1_SIS_Phase_1_Final_Report.pdf.pdf,ok_from_zip,730460_GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203.zip__GI_DPP_2023_Cycle_1_SIS_Phase_1_Final_Report.pdf.pdf,GI DPP 2023 Cycle 1 SIS Phase 1 Final Report.pdf
GI DPP 2021 Central Ph2 SIS Report v1.0 FINAL PUBLIC 20251126,https://cdn.misoenergy.org/GI-DPP-2021-Central_Ph2_SIS-Report_v1.0_FINAL_PUBLIC_20251126729800.zip,2021 Cycle,Central,Phase2,DPP Phase 2 System Impact Study,2025-11-26,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,729800,GI-DPP-2021-Central_Ph2_SIS-Report_v1.0_FINAL_PUBLIC_20251126.zip,zip,Definitive Planning Phase (DPP),2025-11-26T22:32:15.879163Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/729800_GI-DPP-2021-Central_Ph2_SIS-Report_v1.0_FINAL_PUBLIC_20251126.zip.zip,zip_no_study_pdf,,
Final System Impact Study Report-DPP 2021 Cycle Phase 3_PUBLIC_20251105.pdf,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,726302,Final System Impact Study Report-DPP 2021 Cycle Phase 3_PUBLIC_20251105.pdf,pdf,Definitive Planning Phase (DPP),2025-11-05T18:40:30.865637Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,ok,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,
GI DPP 2019 Central Ph3 SIS Report R13 Public 08282025,https://cdn.misoenergy.org/GI-DPP-2019-Central_Ph3_SIS_Report_R13_Public_20250828716336.zip,2019 Cycle 1,Central,Phase3,DPP Phase 3 Final Study,2025-08-28,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,716336,GI-DPP-2019-Central_Ph3_SIS_Report_R13_Public_20250828.zip,zip,Definitive Planning Phase (DPP),2025-10-07T18:06:27.500725Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/716336_GI-DPP-2019-Central_Ph3_SIS_Report_R13_Public_20250828.zip.zip,zip_no_study_pdf,,
GI-DPP-2022-Ph1-All-Regions_SIS_Report_R1_PUBLIC_20250715.zip :: GI DPP 2022 Cycle 1 SIS Phase 1 Final Report Rev1.pdf,https://cdn.misoenergy.org/GI-DPP-2022-Ph1-All-Regions_SIS_Report_R1_PUBLIC_20250715707921.zip,2022 Cycle,General Documents,Phase1,DPP Phase 1 System Impact Study,2025-07-15,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,707921,GI-DPP-2022-Ph1-All-Regions_SIS_Report_R1_PUBLIC_20250715.zip,zip,Definitive Planning Phase (DPP),2025-07-15T14:57:15.283071Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/707921_GI-DPP-2022-Ph1-All-Regions_SIS_Report_R1_PUBLIC_20250715.zip__GI_DPP_2022_Cycle_1_SIS_Phase_1_Final_Report_Rev1.pdf.pdf,ok_from_zip,707921_GI-DPP-2022-Ph1-All-Regions_SIS_Report_R1_PUBLIC_20250715.zip__GI_DPP_2022_Cycle_1_SIS_Phase_1_Final_Report_Rev1.pdf.pdf,GI DPP 2022 Cycle 1 SIS Phase 1 Final Report Rev1.pdf
GI-DPP-2021 West Phase 2 System Impact Study Final Report_20250623 - PUBLIC.pdf,https://cdn.misoenergy.org/GI-DPP-2021%20West%20Phase%202%20System%20Impact%20Study%20Final%20Report_20250623%20-%20PUBLIC704357.pdf,2021 Cycle,West,Phase2,DPP Phase 2 System Impact Study,2025-06-23,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,704357,GI-DPP-2021 West Phase 2 System Impact Study Final Report_20250623 - PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-06-24T15:22:46.352103Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/704357_GI-DPP-2021_West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC.pdf.pdf,ok,704357_GI-DPP-2021_West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC.pdf.pdf,
GI DPP 2020 Cycle ATC Ph1 System Impact Study Final PUBLIC 07122021 :: Final System Impact Study Report-DPP 2020 Cycle  Phase 1_070821_PUBIC.pdf,https://cdn.misoenergy.org/GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021570063.zip,2020 Cycle,ATC,Unknown,System Impact Study,2021-07-08,regex:%m%d%y,optics_api_processstage,2026-09-05T05:53:28Z,570063,GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:11.180061Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/570063_GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021.zip__Final_System_Impact_Study_Report-DPP_2020_Cycle_Phase_1_070821_PUBIC.pdf.pdf,ok_from_zip,570063_GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021.zip__Final_System_Impact_Study_Report-DPP_2020_Cycle_Phase_1_070821_PUBIC.pdf.pdf,Final System Impact Study Report-DPP 2020 Cycle  Phase 1_070821_PUBIC.pdf
GI DPP 2020 ITC Ph1 System Impact Study Final PUBLIC 12142021 :: GI DPP 2020 Cycle1 MI SIS Phase 1Report-Final_12132021.pdf,https://cdn.misoenergy.org/GI-DPP-2020-ITC-Ph1_System_Impact_Study_Final_PUBLIC_12142021611448.zip,2020 Cycle,Michigan,Unknown,System Impact Study,2021-12-13,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,611448,GI-DPP-2020-ITC-Ph1_System_Impact_Study_Final_PUBLIC_12142021.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:15.694408Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/611448_GI-DPP-2020-ITC-Ph1_System_Impact_Study_Final_PUBLIC_12142021.zip__GI_DPP_2020_Cycle1_MI_SIS_Phase_1Report-Final_12132021.pdf.pdf,ok_from_zip,611448_GI-DPP-2020-ITC-Ph1_System_Impact_Study_Final_PUBLIC_12142021.zip__GI_DPP_2020_Cycle1_MI_SIS_Phase_1Report-Final_12132021.pdf.pdf,GI DPP 2020 Cycle1 MI SIS Phase 1Report-Final_12132021.pdf
GI DPP 2019 West Phase2 System Impact Report PUBLIC 013122,https://cdn.misoenergy.org/GI-DPP-2019-West-Phase2_System_Impact_Report_PUBLIC%20013122622660.pdf,2019 Cycle 1,West,Phase2,DPP Phase 2 System Impact Study,2022-01-31,regex:%m%d%y,optics_api_processstage,2026-09-05T05:53:28Z,622660,GI-DPP-2019-West-Phase2_System_Impact_Report_PUBLIC 013122.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:59:15.369326Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/622660_GI-DPP-2019-West-Phase2_System_Impact_Report_PUBLIC_013122.pdf.pdf,ok,622660_GI-DPP-2019-West-Phase2_System_Impact_Report_PUBLIC_013122.pdf.pdf,
