trial,pr_auc,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,added_features,join_note,n_features,goal
0,0.07368501449268738,0.030710573677773714,122,8,62,0.5780093202212182,0.5779972601681014,3.3323645788192616e-08,0.6245760287469893,1666.0,0.04141656662665066,0.6542747724447107,0.04606897796931289,0.0817138103974506,0.21091381852569666,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.09425310780517628,0.10778443113772455,0.2608695652173913,2.602447279354335,0.22264112492357857,0.08383233532934131,0.4057971014492754,2.024125661720038,0.3792541267576931,1.7791193354321333,0.04141656662665066,ok,lightgbm_hpo_trial_0,val,8,[],,85,below_strong
1,0.07058862624299661,0.06054365855469246,95,3,98,0.9162213204002109,0.6061695553391381,4.329370014459266e-07,4.4734294104626844e-07,1666.0,0.04141656662665066,0.6626373726098754,0.04691476180589817,0.07921862064625947,0.20763948485702677,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.019869574077847972,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.10648053800692887,0.09580838323353294,0.463768115942029,2.3132864705371867,0.422355818218871,1.7043572655193095,0.04141656662665066,ok,lightgbm_hpo_trial_1,val,71,[],,85,below_strong
2,0.07313529761164136,0.024878734419814436,74,6,32,0.8059264473611898,0.569746930326021,4.258943089524393e-06,1.9826980964985924e-05,1666.0,0.04141656662665066,0.6780466998811177,0.04617223548611699,0.08264903426527612,0.2114755672300522,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.10189525168127166,0.0718562874251497,0.17391304347826086,1.73496485290289,0.1757693091501936,0.07784431137724551,0.37681159420289856,1.8795452573114642,0.3264723863867944,1.7658464611738336,0.04141656662665066,ok,lightgbm_hpo_trial_2,val,8,[],,85,below_strong
3,0.08170873558711426,0.03920673972242137,103,4,54,0.7962072844310213,0.5232252063599989,0.0029369981104377003,3.425445902633376e-07,1666.0,0.04141656662665066,0.7071411069668673,0.04639284544137063,0.08243495167181358,0.21275850340723174,0.0,0.0,0.0,0.0,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.05808029345832484,0.05389221556886228,0.2608695652173913,1.3012236396771675,0.28846545750968006,1.9728514998280053,0.04141656662665066,ok,lightgbm_hpo_trial_3,val,1,[],,85,below_strong
4,0.08371200761428058,0.012151617026673379,122,10,82,0.6523068845866853,0.5488360570031919,0.014391207615728067,9.148975058772307e-05,1666.0,0.04141656662665066,0.7420888804189013,0.04583327668459339,0.08084434630251947,0.21007431086092598,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.034134909313226006,0.0658682634730539,0.15942028985507245,1.590384448494316,0.11779091094355003,0.08383233532934131,0.4057971014492754,2.024125661720038,0.3362543305481965,2.0212203577592964,0.04141656662665066,ok,lightgbm_hpo_trial_4,val,7,[],,85,below_strong
5,0.045134924557306555,0.014413697528610409,70,3,92,0.6293899908000085,0.831261142176991,6.388511557344611e-06,0.0004793052550782129,1666.0,0.04141656662665066,0.530759667129491,0.04649125282193968,0.08243924943743264,0.21322103443817955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03592814371257485,0.17391304347826086,0.867482426451445,0.17627878540859995,1.0897794827894598,0.04141656662665066,ok,lightgbm_hpo_trial_5,val,1,[],,85,below_strong
6,0.052128465787813744,0.05143828405076928,35,10,79,0.9697494707820946,0.9474136752138245,0.002404915432737351,1.9809253750493907,1666.0,0.04141656662665066,0.5745192525841024,0.04661709948091681,0.08367903093205903,0.2137257379334445,0.08333333333333333,0.10144927536231885,2.0120772946859904,0.06623191359282657,0.04790419161676647,0.11594202898550725,1.1566432352685934,0.07642143876095374,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.25636845323007945,1.2586380290217059,0.04141656662665066,ok,lightgbm_hpo_trial_6,val,1,[],,85,below_strong
7,0.09341033837285334,0.01303561122512888,37,3,36,0.6943386448447411,0.6356745158869479,0.28749982347407854,1.6247252885719427e-05,1666.0,0.04141656662665066,0.7526022524116778,0.04644322490079808,0.08240168920019753,0.21300094265057226,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.12482168330955777,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.23894436519258203,0.08682634730538923,0.42028985507246375,2.0964158639243253,0.4202160179335643,2.2553858511474445,0.04141656662665066,ok,lightgbm_hpo_trial_7,val,1,[],,85,below_strong
8,0.04444062588085868,0.023200867504756827,76,4,82,0.5372753218398854,0.9934434683002586,0.08916674715636537,6.143857495033091e-07,1666.0,0.04141656662665066,0.5329285889303313,0.04653543168481885,0.08273951892688802,0.21341707540692453,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.02037905033625433,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.05094762584063583,0.03293413173652695,0.15942028985507245,0.795192224247158,0.13755858976971674,1.0730156915581242,0.04141656662665066,ok,lightgbm_hpo_trial_8,val,1,[],,85,below_strong
9,0.0913879775021499,0.010166803740022877,107,8,74,0.8856351733429728,0.5370223258670452,1.683416412018213e-05,1.1036250149900698e-07,1666.0,0.04141656662665066,0.7537366257384771,0.04586831758891565,0.08084581987539827,0.21026819024655627,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.033727328306500916,0.08383233532934131,0.2028985507246377,2.024125661720038,0.1941104544528225,0.10778443113772455,0.5217391304347826,2.602447279354335,0.4855308742612594,2.2065560944721994,0.04141656662665066,ok,lightgbm_hpo_trial_9,val,7,[],,85,below_strong
