project_key,start_date,stop_date,withdrawal_event,operation_event,queue_age_months,log1p_capacity_mw,technology_primary,is_hybrid,state_code,months_until_service,service_date_passed,capacity_change_pct,service_date_shift_months,years_since_last_change,other_active_projects_same_state,other_active_mw_same_state,other_active_projects_same_poi,other_active_mw_same_poi,other_active_mw_same_technology,prior_12m_withdrawal_count,prior_12m_withdrawn_mw,years_in_queue,study_phase,service_type,capacity_mw
P::B::100141,2025-12-31,2026-12-31,0,0,,4.330733340286331,other,0,,,0,,,,17.0,2186.72,6.0,397.4,9535.13,1139,222351.24,,,,75.0
P::B::APP-100016,2025-12-31,2026-12-31,0,0,4.829568788501026,6.647688373563329,natural_gas,0,LA,,0,,,,131.0,35293.82,6.0,397.4,70867.92,1139,222351.24,0.4024640657084189,Withdrawn,,770.0
P::B::APP-100087,2025-12-31,2026-12-31,0,0,4.829568788501026,5.31566600488265,wind_onshore,0,ND,,0,,,,23.0,4844.94,6.0,397.4,45562.49,1139,222351.24,0.4024640657084189,Withdrawn,,202.5
P::B::APP-100096,2025-12-31,2026-12-31,0,0,4.829568788501026,7.403061091090091,natural_gas,0,LA,,0,,,,131.0,35293.82,6.0,397.4,70867.92,1139,222351.24,0.4024640657084189,Withdrawn,,1640.0
P::B::APP-100103,2025-12-31,2026-12-31,0,0,4.829568788501026,7.403061091090091,natural_gas,0,LA,,0,,,,131.0,35293.82,6.0,397.4,70867.92,1139,222351.24,0.4024640657084189,Withdrawn,,1640.0
P::B::APP-100245,2025-12-31,2026-12-31,0,0,0.3942505133470226,6.0063531596017325,solar,1,IN,31.145790554414784,0,,,,181.0,41314.0,0.0,0.0,165001.85,1139,222351.24,0.03285420944558522,In Progress (unknown study),NRIS,405.0
P::B::APP-100248,2025-12-31,2026-12-31,0,0,0.29568788501026694,5.637357731274959,solar,1,IN,29.963039014373717,0,,,,181.0,41439.28,0.0,0.0,165127.13,1139,222351.24,0.024640657084188913,In Progress (unknown study),NRIS,279.72
P::B::APP-100259,2025-12-31,2026-12-31,0,0,0.3942505133470226,6.23166185298802,solar,1,LA,29.963039014373717,0,,,,130.0,34786.22,0.0,0.0,164899.25,1139,222351.24,0.03285420944558522,In Progress (unknown study),NRIS,507.6
P::B::E0002,2025-12-31,2026-12-31,0,0,4.829568788501026,5.583496308781699,natural_gas,0,IA,20.008213552361397,0,,,,119.0,23404.94,0.0,0.0,70602.92,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,265.0
P::B::E0003,2025-12-31,2026-12-31,0,0,4.829568788501026,4.858571324462998,solar,0,IL,29.963039014373717,0,,,,273.0,52708.91,0.0,0.0,165279.01,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,127.84
P::B::E0004,2025-12-31,2026-12-31,0,0,4.7967145790554415,4.657003334628109,battery,0,MI,20.008213552361397,0,,,,286.0,56515.01,0.0,0.0,54693.68,1139,222351.24,0.3997262149212868,In Progress (unknown study),NRIS,104.32
P::B::E0005,2025-12-31,2026-12-31,0,0,4.829568788501026,4.518740457989703,battery,0,MN,28.09034907597536,0,,,,154.0,28331.09,0.0,0.0,54707.28,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,90.72
P::B::E0006,2025-12-31,2026-12-31,0,0,4.829568788501026,5.368402974114725,battery,0,MN,-3.02258726899384,1,,,,154.0,28208.29,1.0,99.99999999999997,54584.48,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,213.52
P::B::E0007,2025-12-31,2026-12-31,0,0,4.829568788501026,5.1958415749588,solar,0,MI,27.006160164271048,0,,,,286.0,56439.810000000005,0.0,0.0,165227.33000000002,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,179.52
P::B::E0008,2025-12-31,2026-12-31,0,0,4.829568788501026,5.517452896464707,battery,0,MI,29.04312114989733,0,,,,286.0,56371.33,0.0,0.0,54550.0,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,248.0
P::B::E0009,2025-12-31,2026-12-31,0,0,4.829568788501026,6.516932447610842,nuclear,0,IA,25.82340862422998,0,,,,120.0,23669.94,0.0,0.0,2170.1,1139,222351.24,0.4024640657084189,Withdrawn,NRIS,675.5
P::B::E0010,2025-12-31,2026-12-31,0,0,4.829568788501026,6.683548662814663,natural_gas,0,IA,25.19917864476386,0,,,,119.0,22871.789999999997,0.0,0.0,70069.77,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,798.15
P::B::E0011,2025-12-31,2026-12-31,0,0,4.829568788501026,4.475061500641071,solar,0,MN,12.02464065708419,0,,,,154.0,28335.010000000002,0.0,0.0,165320.05000000002,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,86.8
P::B::E0012,2025-12-31,2026-12-31,0,0,4.829568788501026,7.100233415985461,natural_gas,0,WI,22.99794661190965,0,,,,116.0,25344.07,0.0,0.0,69656.67,1139,222351.24,0.4024640657084189,In Progress (unknown study),NRIS,1211.25
