document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible,local_path,download_status,source_file,zip_member,issue,pages,project_id,project_key,study_group,decision_point,capacity_mw,eris_mw,nris_mw,poi,transmission_owner,network_upgrade_cost,interconnection_facility_cost,affected_system_cost,capacity_reduction_mw,withdrawal_mentioned,restudy_flag,source_url,source_page,extraction_method,extraction_confidence,project_cost,shared_group_cost,total_group_cost,cost_allocation_known
GI DPP 2025 ALL SIS Ph1 FINAL v1.0 PUBLIC 20260324 :: GI DPP 2025 Cycle 1 SIS Phase 1 Final Report.pdf,https://cdn.misoenergy.org/GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324748615.zip,2025 Cycle,General Documents,Phase1,DPP Phase 1 System Impact Study,2026-03-24,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,748615.0,GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324.zip,zip,Definitive Planning Phase (DPP),2026-04-01T21:18:55.413181Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/748615_GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324.zip__GI_DPP_2025_Cycle_1_SIS_Phase_1_Final_Report.pdf.pdf,ok_from_zip,748615_GI-DPP-2025-ALL_SIS_Ph1_FINAL_v1.0_PUBLIC_20260324.zip__GI_DPP_2025_Cycle_1_SIS_Phase_1_Final_Report.pdf.pdf,GI DPP 2025 Cycle 1 SIS Phase 1 Final Report.pdf,no_whitelist_projects_extracted,7.0,,,,,,,,,,,,,,,,,,,,,,,
GI DPP 2023 ALL Ph1 SIS Report v1.0 FINAL PUBLIC 20251203 :: GI DPP 2023 Cycle 1 SIS Phase 1 Final Report.pdf,https://cdn.misoenergy.org/GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203730460.zip,2023 Cycle,General Documents,Phase1,DPP Phase 1 System Impact Study,2025-12-03,regex:%Y%m%d,optics_api_processstage,2026-09-05T05:53:28Z,730460.0,GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203.zip,zip,Definitive Planning Phase (DPP),2025-12-04T16:51:48.646673Z,True,/home/kenneth-enow/X-intern_misochallenge/Team-8-XternChallenge-/data/bronze/enrichment/miso_dpp_studies/files/730460_GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203.zip__GI_DPP_2023_Cycle_1_SIS_Phase_1_Final_Report.pdf.pdf,ok_from_zip,730460_GI-DPP-2023-ALL_Ph1_SIS-Report_v1.0_FINAL_PUBLIC_20251203.zip__GI_DPP_2023_Cycle_1_SIS_Phase_1_Final_Report.pdf.pdf,GI DPP 2023 Cycle 1 SIS Phase 1 Final Report.pdf,no_whitelist_projects_extracted,7.0,,,,,,,,,,,,,,,,,,,,,,,
,,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,,,,,,,,,,,,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,,low_extraction_confidence,,J1410,P::J1410,East-ATC,,,,,,,,,,,0.0,0.0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,9.0,pdfplumber,0.5,,,,0.0
,,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,,,,,,,,,,,,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,,low_extraction_confidence,,J1411,P::J1411,East-ATC,,,,,,,,,,,0.0,0.0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,9.0,pdfplumber,0.5,,,,0.0
,,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,,,,,,,,,,,,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,,low_extraction_confidence,,J1629,P::J1629,East-ATC,,,,,,,,,,,0.0,0.0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,9.0,pdfplumber,0.5,,,,0.0
,,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,,,,,,,,,,,,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,,low_extraction_confidence,,J2074,P::J2074,East-ATC,,,,,,,,,,,0.0,0.0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,9.0,pdfplumber,0.5,,,,0.0
,,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,,,,,,,,,,,,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,,low_extraction_confidence,,J2218,P::J2218,East-ATC,,,,,,,,,,,0.0,0.0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,29.0,pdfplumber,0.5,,,,0.0
,,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,,,,,,,,,,,,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,,low_extraction_confidence,,J850,P::J850,East-ATC,,,,,,,,,,,0.0,0.0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,32.0,pdfplumber,0.5,,,,0.0
,,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,,,,,,,,,,,,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,,low_extraction_confidence,,J878,P::J878,East-ATC,,,,,,,,,,,0.0,0.0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,32.0,pdfplumber,0.5,,,,0.0
,,2021 Cycle,East-ATC,Unknown,System Impact Study,2025-11-05,,,,,,,,,,,,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,,low_extraction_confidence,,J1316,P::J1316,East-ATC,,,,,,,,,,,0.0,0.0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,32.0,pdfplumber,0.5,,,,0.0
