project_id,source_url,source_file,source_page,context,reason
J20532,https://cdn.misoenergy.org/GI-DPP-2021%20West%20Phase%202%20System%20Impact%20Study%20Final%20Report_20250623%20-%20PUBLIC704357.pdf,704357_GI-DPP-2021_West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC.pdf.pdf,4,J20532,not_in_project_master_whitelist
J20803,https://cdn.misoenergy.org/GI-DPP-2021%20West%20Phase%202%20System%20Impact%20Study%20Final%20Report_20250623%20-%20PUBLIC704357.pdf,704357_GI-DPP-2021_West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC.pdf.pdf,5,J20803,not_in_project_master_whitelist
J20972,https://cdn.misoenergy.org/GI-DPP-2021%20West%20Phase%202%20System%20Impact%20Study%20Final%20Report_20250623%20-%20PUBLIC704357.pdf,704357_GI-DPP-2021_West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC.pdf.pdf,5,J20972,not_in_project_master_whitelist
J21572,https://cdn.misoenergy.org/GI-DPP-2021%20West%20Phase%202%20System%20Impact%20Study%20Final%20Report_20250623%20-%20PUBLIC704357.pdf,704357_GI-DPP-2021_West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC.pdf.pdf,5,J21572,not_in_project_master_whitelist
J15122,https://cdn.misoenergy.org/GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021570063.zip,570063_GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021.zip__Final_System_Impact_Study_Report-DPP_2020_Cycle_Phase_1_070821_PUBIC.pdf.pdf,23,J15122,not_in_project_master_whitelist
J15121,https://cdn.misoenergy.org/GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021570063.zip,570063_GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021.zip__Final_System_Impact_Study_Report-DPP_2020_Cycle_Phase_1_070821_PUBIC.pdf.pdf,26,J15121,not_in_project_master_whitelist
J0133,https://cdn.misoenergy.org/GI-DPP-2018-APR-Central_SIS_Phase_II_Report_R05_10122021596538.pdf,596538_GI-DPP-2018-APR-Central_SIS_Phase_II_Report_R05_10122021.pdf.pdf,13,"J0133
&
J1034",not_in_project_master_whitelist
J0133,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20I%20Report%20-%20FINAL404614.pdf,404614_GI_DPP_2018_APRIL_Central_SIS_Phase_I_Report_-_FINAL.pdf.pdf,12,"J0133
&
J1034",not_in_project_master_whitelist
J0133,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20II%20Report%20-%20R04527785.pdf,527785_GI_DPP_2018_APRIL_Central_SIS_Phase_II_Report_-_R04.pdf.pdf,13,"J0133
&
J1034",not_in_project_master_whitelist
J0133,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20I%20Report%20-%20FINAL%20Rev2408680.pdf,408680_GI_DPP_2018_APRIL_Central_SIS_Phase_I_Report_-_FINAL_Rev2.pdf.pdf,12,"J0133
&
J1034",not_in_project_master_whitelist
J13791,https://cdn.misoenergy.org/GI-DPP-2019-ITC-Ph2_System_Impact_Study_Final_PUBLIC622899.zip,622899_GI-DPP-2019-ITC-Ph2_System_Impact_Study_Final_PUBLIC.zip__GI_DPP_2019_Cycle2_MI_SIS_Phase_2_Report_03022022.pdf.pdf,25,lysis. Table 25: NRIS Results for J1379 J13791 Deliverable (NRIS) Amount in 2024 Case:,not_in_project_master_whitelist
