table,column,description,layer
study_events,project_key,study_events.project_key,silver_enrichment
study_events,study_cycle,study_events.study_cycle,silver_enrichment
study_events,study_group,study_events.study_group,silver_enrichment
study_events,study_phase,study_events.study_phase,silver_enrichment
study_events,upgrade_cost_usd,study_events.upgrade_cost_usd,silver_enrichment
study_events,upgrade_cost_per_mw,study_events.upgrade_cost_per_mw,silver_enrichment
study_events,capacity_mw,study_events.capacity_mw,silver_enrichment
study_events,capacity_reduction_pct,study_events.capacity_reduction_pct,silver_enrichment
study_events,restudy_flag,study_events.restudy_flag,silver_enrichment
study_events,report_date,study_events.report_date,silver_enrichment
transmission_assets,upgrade_id,transmission_assets.upgrade_id,silver_enrichment
transmission_assets,poi_key,transmission_assets.poi_key,silver_enrichment
transmission_assets,transmission_owner,transmission_assets.transmission_owner,silver_enrichment
transmission_assets,upgrade_completion_year,transmission_assets.upgrade_completion_year,silver_enrichment
transmission_assets,investment_usd,transmission_assets.investment_usd,silver_enrichment
transmission_assets,voltage_kv,transmission_assets.voltage_kv,silver_enrichment
transmission_assets,distance_to_transmission_km,transmission_assets.distance_to_transmission_km,silver_enrichment
market_zone_month,miso_zone,market_zone_month.miso_zone,silver_enrichment
market_zone_month,year_month,market_zone_month.year_month,silver_enrichment
market_zone_month,miso_mean_demand_mw,market_zone_month.miso_mean_demand_mw,silver_enrichment
market_zone_month,miso_peak_demand_mw,market_zone_month.miso_peak_demand_mw,silver_enrichment
market_zone_month,miso_demand_yoy_pct,market_zone_month.miso_demand_yoy_pct,silver_enrichment
market_zone_month,miso_generation_yoy_pct,market_zone_month.miso_generation_yoy_pct,silver_enrichment
market_zone_month,miso_net_interchange_mw,market_zone_month.miso_net_interchange_mw,silver_enrichment
market_zone_month,demand_mw_mean,market_zone_month.demand_mw_mean,silver_enrichment
market_zone_month,demand_mw_peak,market_zone_month.demand_mw_peak,silver_enrichment
market_zone_month,net_interchange_mw,market_zone_month.net_interchange_mw,silver_enrichment
market_zone_month,local_demand_growth,market_zone_month.local_demand_growth,silver_enrichment
market_zone_month,renewable_share,market_zone_month.renewable_share,silver_enrichment
market_zone_month,interest_rate_10y,market_zone_month.interest_rate_10y,silver_enrichment
market_zone_month,ppi_construction,market_zone_month.ppi_construction,silver_enrichment
market_zone_month,local_congestion_mean,market_zone_month.local_congestion_mean,silver_enrichment
market_zone_month,local_congestion_volatility,market_zone_month.local_congestion_volatility,silver_enrichment
generator_status_events,eia_plant_id,generator_status_events.eia_plant_id,silver_enrichment
generator_status_events,project_key,generator_status_events.project_key,silver_enrichment
generator_status_events,status,generator_status_events.status,silver_enrichment
generator_status_events,operating_date,generator_status_events.operating_date,silver_enrichment
generator_status_events,capacity_mw,generator_status_events.capacity_mw,silver_enrichment
generator_status_events,technology,generator_status_events.technology,silver_enrichment
generator_status_events,event_type,generator_status_events.event_type,silver_enrichment
developer_quarter,developer_id,developer_quarter.developer_id,silver_enrichment
developer_quarter,year_quarter,developer_quarter.year_quarter,silver_enrichment
developer_quarter,developer_active_project_count,developer_quarter.developer_active_project_count,silver_enrichment
developer_quarter,developer_total_active_mw,developer_quarter.developer_total_active_mw,silver_enrichment
developer_quarter,developer_prior_completion_rate,developer_quarter.developer_prior_completion_rate,silver_enrichment
developer_quarter,developer_prior_withdrawal_rate,developer_quarter.developer_prior_withdrawal_rate,silver_enrichment
developer_quarter,developer_financing_event_180d,developer_quarter.developer_financing_event_180d,silver_enrichment
developer_quarter,developer_distress_event_180d,developer_quarter.developer_distress_event_180d,silver_enrichment
permit_events,project_key,permit_events.project_key,silver_enrichment
permit_events,facility_name,permit_events.facility_name,silver_enrichment
permit_events,permit_type,permit_events.permit_type,silver_enrichment
permit_events,event_type,permit_events.event_type,silver_enrichment
permit_events,milestone,permit_events.milestone,silver_enrichment
