project_id,project_key,report_date,study_cycle,study_region,study_group,study_phase,decision_point,capacity_mw,eris_mw,nris_mw,poi,transmission_owner,network_upgrade_cost,interconnection_facility_cost,affected_system_cost,capacity_reduction_mw,withdrawal_mentioned,restudy_flag,source_url,source_file,source_page,extraction_method,extraction_confidence,project_cost,shared_group_cost,total_group_cost,cost_allocation_known,document_type
J2099,P::J2099,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,400.5,,,50996,0.98,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,14,pdfplumber_table,0.85,,,,0,System Impact Study
J2107,P::J2107,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,400.5,,,50996,0.98,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,14,pdfplumber_table,0.85,,,,0,System Impact Study
J2185,P::J2185,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,400.5,,,50996,0.98,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,14,pdfplumber_table,0.85,,,,0,System Impact Study
J2193,P::J2193,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,123.9,,,51935,0.96,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,14,pdfplumber_table,0.85,,,,0,System Impact Study
J2304,P::J2304,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,400.6,,,53046,0.96,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,14,pdfplumber_table,0.85,,,,0,System Impact Study
J1895,P::J1895,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,209.7,,,48953,0.95,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,17,pdfplumber_table,0.85,,,,0,System Impact Study
J1931,P::J1931,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,44.6,,,44833,0.96,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J1934,P::J1934,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,152.6,,,49343,0.96,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J1935,P::J1935,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,52.3,,,49353,0.96,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J1943,P::J1943,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,201.4,,,"49430, 49436",0.96,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J1993,P::J1993,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,99.6,,,46293,0.97,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J2029,P::J2029,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,62.9,,,50296,0.92,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J2055,P::J2055,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,100.0,,,693319,0.92,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J2148,P::J2148,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,151.3,,,51480,0.93,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J2211,P::J2211,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,210.8,,,52113,0.95,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J2316,P::J2316,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,85.5,,,48143,0.95,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,22,pdfplumber_table,0.85,,,,0,System Impact Study
J1410,P::J1410,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,9,pdfplumber,0.5,,,,0,System Impact Study
J1411,P::J1411,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,9,pdfplumber,0.5,,,,0,System Impact Study
J1629,P::J1629,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,9,pdfplumber,0.5,,,,0,System Impact Study
J2074,P::J2074,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,9,pdfplumber,0.5,,,,0,System Impact Study
J2218,P::J2218,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,29,pdfplumber,0.5,,,,0,System Impact Study
J850,P::J850,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J878,P::J878,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1316,P::J1316,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1778,P::J1778,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1483,P::J1483,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1781,P::J1781,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J855,P::J855,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1374,P::J1374,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J870,P::J870,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J871,P::J871,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1773,P::J1773,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1000,P::J1000,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1746,P::J1746,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1732,P::J1732,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1814,P::J1814,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,32,pdfplumber,0.5,,,,0,System Impact Study
J1573,P::J1573,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J1513,P::J1513,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J1002,P::J1002,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J986,P::J986,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J1751,P::J1751,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J1214,P::J1214,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J1326,P::J1326,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J1779,P::J1779,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J1377,P::J1377,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,33,pdfplumber,0.5,,,,0,System Impact Study
J2017,P::J2017,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,36,pdfplumber,0.5,,,,0,System Impact Study
J864,P::J864,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,45,pdfplumber,0.5,,,,0,System Impact Study
J947,P::J947,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,45,pdfplumber,0.5,,,,0,System Impact Study
J1188,P::J1188,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,45,pdfplumber,0.5,,,,0,System Impact Study
J1304,P::J1304,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,45,pdfplumber,0.5,,,,0,System Impact Study
J1305,P::J1305,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,45,pdfplumber,0.5,,,,0,System Impact Study
J1706,P::J1706,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,45,pdfplumber,0.5,,,,0,System Impact Study
J2117,P::J2117,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,1,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,46,pdfplumber,0.5,,,,0,System Impact Study
J1567,P::J1567,2025-11-05,2021 Cycle,East-ATC,East-ATC,Unknown,,,,,,,,,,,0,0,https://cdn.misoenergy.org/Final%20System%20Impact%20Study%20Report-DPP%202021%20Cycle%20Phase%203_PUBLIC_20251105726302.pdf,726302_Final_System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105.pdf.pdf,46,pdfplumber,0.5,,,,0,System Impact Study
