source,field,missing_count,missing_pct,distinct_values,invalid_count,minimum,maximum
miso_current_2026,Project #,0,0.0,3832,0,,
miso_current_2026,Request Status,0,0.0,6,0,,
miso_current_2026,Queue Date,6,0.157,655,0,2015-04-15 04:00:00+00:00,2026-08-25 21:10:25+00:00
miso_current_2026,Withdrawn Date,1705,44.482,428,0,2017-02-17 05:00:00+00:00,2026-09-01 04:00:00+00:00
miso_current_2026,Done Date,3564,92.982,135,0,2018-01-24 05:00:00+00:00,2023-03-07 05:00:00+00:00
miso_current_2026,Appl In Service Date,32,0.835,605,0,1990-03-01 05:00:00+00:00,2032-10-31 04:00:00+00:00
miso_current_2026,Transmission Owner,128,3.339,93,0,,
miso_current_2026,County,138,3.6,776,0,,
miso_current_2026,State,165,4.305,16,0,,
miso_current_2026,Study Cycle,237,6.183,14,0,,
miso_current_2026,Study Group,243,6.34,6,0,,
miso_current_2026,Study Phase,434,11.323,5,0,,
miso_current_2026,Service Type,20,0.522,5,0,,
miso_current_2026,POI Name,119,3.105,2915,0,,
miso_current_2026,Summer MW,0,0.0,525,0,0.0,2220.0
miso_current_2026,Winter MW,0,0.0,520,0,0.0,2220.0
miso_current_2026,Fuel,279,7.279,14,0,,
miso_current_2026,Generating Facility,280,7.305,15,0,,
miso_current_2026,Post GIA Status,1338,34.907,5,0,,
miso_current_2026,Negotiated In Service Date,3225,84.138,327,0,1990-12-03 05:00:00+00:00,2030-06-01 04:00:00+00:00
miso_current_2026,Decision Point 1 ERIS MW,0,0.0,310,0,0.0,2200.0
miso_current_2026,Decision Point 1 NRIS MW,0,0.0,297,0,0.0,2200.0
miso_current_2026,Decision Point 2 ERIS MW,0,0.0,180,0,0.0,1209.0
miso_current_2026,Decision Point 2 NRIS MW,0,0.0,168,0,0.0,1175.0
