family,feature_a,feature_b,pearson_r,abs_r
cost_study,restudy_count_missing,study_delay_days_missing,1.0,1.0
macro,construction_cost_index_change_12m,miso_demand_yoy_pct,1.0,1.0
macro,construction_cost_index_change_12m,miso_generation_yoy_pct,1.0,1.0
macro,interest_rate_at_observation,miso_generation_yoy_pct,-1.0,1.0
macro,miso_demand_yoy_pct,miso_generation_yoy_pct,1.0,1.0
macro,miso_demand_yoy_pct,miso_net_interchange_mw,1.0,1.0
macro,miso_demand_yoy_pct_missing,miso_generation_yoy_pct_missing,1.0,1.0
macro,miso_generation_yoy_pct,miso_mean_demand_mw,-1.0,1.0
macro,miso_generation_yoy_pct,miso_net_interchange_mw,1.0,1.0
queue,queue_age_months,years_in_queue,1.0,1.0
macro,interest_rate_at_observation,miso_demand_yoy_pct,-0.9999999999999996,0.9999999999999996
macro,miso_demand_yoy_pct,miso_mean_demand_mw,-0.9999999999999974,0.9999999999999974
macro,miso_generation_yoy_pct,miso_peak_demand_mw,-0.9999999999999972,0.9999999999999972
macro,miso_demand_yoy_pct,miso_peak_demand_mw,-0.9999999999999969,0.9999999999999969
macro,interest_rate_at_observation,miso_peak_demand_mw,0.9999639539777613,0.9999639539777613
queue,prior_12m_withdrawal_count,prior_12m_withdrawn_mw,0.9997309214131167,0.9997309214131167
queue,capacity_change_pct_missing,service_date_shift_months_missing,0.9936887945963615,0.9936887945963615
queue,other_active_projects_same_poi,same_poi_project_count,0.9868249081722147,0.9868249081722147
queue,developer_active_project_count,developer_total_active_mw,0.9785084481893296,0.9785084481893296
queue,other_active_mw_same_state,other_active_projects_same_state,0.9751091459867348,0.9751091459867348
news,negative_news_count_90d,news_count_90d,0.9596873046084231,0.9596873046084231
macro,miso_demand_yoy_pct_missing,miso_mean_demand_mw,-0.9568112282077178,0.9568112282077178
macro,miso_generation_yoy_pct_missing,miso_mean_demand_mw,-0.9568112282077178,0.9568112282077178
news,negative_news_count_90d,news_count_30d,0.9564136130389629,0.9564136130389629
macro,miso_demand_yoy_pct_missing,miso_net_interchange_mw,-0.9546736231822298,0.9546736231822298
macro,miso_generation_yoy_pct_missing,miso_net_interchange_mw,-0.9546736231822298,0.9546736231822298
news,news_count_30d,news_count_90d,0.9531610988886204,0.9531610988886204
queue,study_phase_missing,service_type_missing,-0.9496285520086496,0.9496285520086496
