column,dtype,role,family,coverage_all,coverage_train,nunique_all,nunique_train,all_null,constant_train
upgrade_cost_change_pct,object,categorical,cost_study,0.0,0.0,0,0,True,True
construction_employment_growth,object,categorical,geo_policy,0.0,0.0,0,0,True,True
county_gdp_growth,object,categorical,geo_policy,0.0,0.0,0,0,True,True
developer_distress_event_180d,object,categorical,geo_policy,0.0,0.0,0,0,True,True
developer_financing_event_180d,object,categorical,geo_policy,0.0,0.0,0,0,True,True
distance_to_wetlands_km,object,categorical,geo_policy,0.0,0.0,0,0,True,True
drought_months_12m,object,categorical,geo_policy,0.0,0.0,0,0,True,True
expected_incremental_load_mw,object,categorical,geo_policy,0.0,0.0,0,0,True,True
miso_zone,str,categorical,geo_policy,0.01027780604457108,0.0,6,0,False,True
solar_resource_percentile,object,categorical,geo_policy,0.0,0.0,0,0,True,True
wetlands_overlap_pct,object,categorical,geo_policy,0.0,0.0,0,0,True,True
wind_resource_percentile,object,categorical,geo_policy,0.0,0.0,0,0,True,True
local_congestion_mean_12m,object,categorical,grid,0.0,0.0,0,0,True,True
local_congestion_volatility_12m,object,categorical,grid,0.0,0.0,0,0,True,True
days_since_last_negative_event,object,categorical,news,0.0,0.0,0,0,True,True
days_since_last_positive_event,object,categorical,news,0.0,0.0,0,0,True,True
financing_positive_count_180d,object,categorical,news,0.0,0.0,0,0,True,True
opposition_event_count_180d,object,categorical,news,0.0,0.0,0,0,True,True
permit_positive_count_180d,object,categorical,news,0.0,0.0,0,0,True,True
service_type,str,categorical,queue,0.8421695329195075,0.8074458346048214,8,4,False,False
state_code,str,categorical,queue,0.9856517757199552,1.0,16,16,False,False
study_phase,str,categorical,queue,0.5806451612903226,0.17699115044247787,14,3,False,False
technology_primary,str,categorical,queue,1.0,1.0,8,7,False,False
median_income,object,categorical,,0.0,0.0,0,0,True,True
study_group,str,categorical,,0.01027780604457108,0.0,6,0,False,True
county_fips,str,id,,0.9805637529256132,0.9972535855965823,630,553,False,False
developer_id,str,id,,0.9969471863233947,1.0,99,63,False,False
poi_key,str,id,,0.9881957871171263,1.0,2433,1681,False,False
project_key,str,id,,1.0,1.0,3301,1938,False,False
source_id,str,id,,1.0,1.0,7,3,False,False
source_name,str,id,,1.0,1.0,2,1,False,True
complete_followup,bool,label,,1.0,1.0,2,1,False,True
next_outcome,str,label,,1.0,1.0,3,3,False,False
