feature,family,pearson_with_withdraw_next_12m,abs_assoc,n_complete
network_upgrade_cost,cost_study,0.351504944971488,0.351504944971488,498
upgrade_cost_per_mw,cost_study,0.32021206703726424,0.32021206703726424,346
dpp_event_count_to_date,cost_study,-0.1995271611833858,0.1995271611833858,682
miso_net_interchange_mw,macro,-0.15831011305007855,0.15831011305007855,3277
years_since_last_change,queue,0.15703715863425194,0.15703715863425194,76
service_type_missing,queue,0.13877577685015174,0.13877577685015174,3277
population_yoy_pct_missing,geo_policy,0.1357279604669902,0.1357279604669902,3277
miso_generation_yoy_pct_missing,macro,0.13439196296359807,0.13439196296359807,3277
miso_demand_yoy_pct_missing,macro,0.13439196296359807,0.13439196296359807,3277
study_phase_missing,queue,-0.134391962963598,0.134391962963598,3277
miso_generation_yoy_pct,macro,-0.12029012149698884,0.12029012149698884,2697
miso_demand_yoy_pct,macro,-0.1202901214969888,0.1202901214969888,2697
construction_cost_index_change_12m,macro,-0.1183516619060101,0.1183516619060101,3277
study_phase__In_Progress,queue,0.11201288622307427,0.11201288622307427,3277
service_type__NRIS,queue,-0.10811502422254325,0.10811502422254325,3277
miso_mean_demand_mw,macro,-0.09927825286411558,0.09927825286411558,3277
upgrade_cost_per_mw_missing,cost_study,-0.0912364803828847,0.0912364803828847,3277
state_code__ND,queue,0.08422639708515116,0.08422639708515116,3277
technology_primary__battery,queue,0.07786465391741171,0.07786465391741171,3277
service_date_passed,queue,-0.06755629665339023,0.06755629665339023,3277
study_phase__Not_Started,queue,0.06712223016973207,0.06712223016973207,3277
study_delay_days,cost_study,-0.06696779651122511,0.06696779651122511,350
state_code__IL,queue,-0.06522801372257482,0.06522801372257482,3277
study_delay_days_missing,cost_study,0.06381068675150359,0.06381068675150359,3277
restudy_count_missing,cost_study,0.06381068675150359,0.06381068675150359,3277
cost_change_since_previous_study,cost_study,0.06163547526596529,0.06163547526596529,249
technology_primary__solar,queue,-0.06031885654958139,0.06031885654958139,3277
is_hybrid,queue,-0.05966347785562578,0.05966347785562578,3277
cost_change_since_previous_study_missing,cost_study,0.051696918513350405,0.051696918513350405,3277
storm_events_12m,geo_policy,0.04730898876322492,0.04730898876322492,3242
state_code__MN,queue,0.0469072223611673,0.0469072223611673,3277
population_change_since_2020,geo_policy,-0.045982065979052765,0.045982065979052765,3268
technology_primary__other,queue,-0.04363386953192786,0.04363386953192786,3277
network_upgrade_cost_missing,cost_study,-0.04249511320125534,0.04249511320125534,3277
news_sentiment_mean_90d,news,0.041480262450207556,0.041480262450207556,3277
prior_12m_withdrawal_count,queue,-0.0391367894426566,0.0391367894426566,3277
technology_primary__wind_onshore,queue,0.038329033454299284,0.038329033454299284,3277
technology_primary__OTHER_RARE,queue,-0.03729090578850802,0.03729090578850802,3277
restudy_count,cost_study,-0.03699784073448669,0.03699784073448669,350
other_active_mw_same_technology,queue,-0.03648177948486707,0.03648177948486707,3277
prior_12m_withdrawn_mw,queue,-0.03533630150028941,0.03533630150028941,3277
capacity_reduction_pct_missing,cost_study,0.03481719987796291,0.03481719987796291,3277
years_since_last_change_missing,queue,0.03322127836778528,0.03322127836778528,3277
fema_risk_score,geo_policy,-0.030904413535709222,0.030904413535709222,3268
state_code__SD,queue,0.03035217694709695,0.03035217694709695,3277
state_code__WI,queue,-0.030239555179196492,0.030239555179196492,3277
capacity_change_pct_missing,queue,0.029667708034596514,0.029667708034596514,3277
service_date_shift_months_missing,queue,0.02966770803459651,0.02966770803459651,3277
state_code__MO,queue,-0.029298155229070002,0.029298155229070002,3277
state_code__IN,queue,-0.028048590776898717,0.028048590776898717,3277
service_type__OTHER_RARE,queue,-0.02711758152527554,0.02711758152527554,3277
capacity_mw,queue,-0.025942842800945283,0.025942842800945283,3277
mtep_investment_nearby_usd,grid,-0.025690135996405652,0.025690135996405652,3277
other_active_projects_same_poi,queue,-0.025674169990416534,0.025674169990416534,3277
state_code__MI,queue,0.025610407374641694,0.025610407374641694,3277
service_type__ERIS,queue,-0.025418435932051568,0.025418435932051568,3277
state_code__LA,queue,0.025262190283880555,0.025262190283880555,3277
state_code__KY,queue,-0.024530419957819623,0.024530419957819623,3277
service_date_shift_months,queue,-0.021979988005913862,0.021979988005913862,1341
nearby_mtep_upgrade_count,grid,-0.020949108638901467,0.020949108638901467,3277
same_poi_project_count,queue,-0.019059948771659233,0.019059948771659233,3277
state_code__AR,queue,0.019044875393721253,0.019044875393721253,3277
months_until_service,queue,0.017606934032712816,0.017606934032712816,3267
population_yoy_pct,geo_policy,-0.017168681344013725,0.017168681344013725,2688
storm_property_damage_12m,geo_policy,-0.01681929984314044,0.01681929984314044,3242
developer_total_active_mw,queue,0.015900570079086185,0.015900570079086185,3277
developer_prior_withdrawal_rate,queue,0.015757364797461176,0.015757364797461176,3277
rural_flag,geo_policy,-0.015466559761279202,0.015466559761279202,3268
other_active_projects_same_state,queue,-0.015334543383566601,0.015334543383566601,3277
news_count_30d,news,0.01470547748363164,0.01470547748363164,3277
population,geo_policy,0.01388628395149215,0.01388628395149215,3268
log1p_capacity_mw,queue,-0.011742351936983026,0.011742351936983026,3277
other_active_mw_same_state,queue,-0.011688096225042448,0.011688096225042448,3277
dpp_event_count_to_date_missing,cost_study,-0.010763439489858305,0.010763439489858305,3277
extreme_weather_days_12m,geo_policy,-0.00994235550623364,0.00994235550623364,3242
