feature,dtype,n_unique,missing_pct,role,encoding_needed,scaling,notes
project_key,str,1938,0.0,identifier,Exclude,No,exclude from X
observation_date,datetime64[us],3,0.0,time_key,Do not encode blindly,No,time key / split helper — not a raw feature
withdraw_next_12m,int64,2,0.0,label,No,No,LABEL
capacity_reduction_pct,float64,24,93.226,numeric,No,Yes*,high missing — keep nulls; do not zero-fill
capacity_reduction_pct_missing,float64,2,0.0,missing_indicator,No,No,0/1 missingness
cost_change_since_previous_study,float64,96,92.402,numeric,No,Yes*,high missing — keep nulls; do not zero-fill
cost_change_since_previous_study_missing,float64,2,0.0,missing_indicator,No,No,0/1 missingness
dpp_event_count_to_date,float64,5,79.188,numeric,No,Yes*,high missing — keep nulls; do not zero-fill
dpp_event_count_to_date_missing,float64,2,0.0,missing_indicator,No,No,0/1 missingness
network_upgrade_cost,float64,225,84.803,numeric,No,Yes*,high missing — keep nulls; do not zero-fill
network_upgrade_cost_missing,float64,2,0.0,missing_indicator,No,No,0/1 missingness
restudy_count,float64,2,89.319,binary,No,No,high missing — keep nulls; do not zero-fill
study_delay_days,float64,20,89.319,numeric,No,Yes*,high missing — keep nulls; do not zero-fill
upgrade_cost_per_mw,float64,165,89.442,numeric,No,Yes*,high missing — keep nulls; do not zero-fill
upgrade_cost_per_mw_missing,float64,2,0.0,missing_indicator,No,No,0/1 missingness
extreme_weather_days_12m,float64,20,1.068,numeric,No,Yes*,scale for logistic/SVM/NN; optional for trees
fema_risk_score,float64,553,0.275,numeric,No,Yes*,scale for logistic/SVM/NN; optional for trees
population,float64,1231,0.275,numeric,No,Yes*,scale for logistic/SVM/NN; optional for trees
population_change_since_2020,float64,645,0.275,numeric,No,Yes*,scale for logistic/SVM/NN; optional for trees
population_yoy_pct,float64,930,17.974,numeric,No,Yes*,scale for logistic/SVM/NN; optional for trees
population_yoy_pct_missing,float64,2,0.0,missing_indicator,No,No,0/1 missingness
rural_flag,float64,2,0.275,binary,No,No,0/1 numeric
storm_events_12m,float64,53,1.068,numeric,No,Yes*,scale for logistic/SVM/NN; optional for trees
