project_key,queue_project_id,developer_id,developer_raw,match_method,match_confidence,notes
P::J2150,J2150,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2149,J2149,ENTERGY ARKANSAS,,utility_proxy,0.6,utility_proxy
P::J2148,J2148,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2195,J2195,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2194,J2194,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2193,J2193,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2192,J2192,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2191,J2191,CLECO POWER,,utility_proxy,0.6,utility_proxy
P::J2206,J2206,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2205,J2205,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2199,J2199,NORTHERN STATES POWER,,utility_proxy,0.6,utility_proxy
P::J942,J942,ENTERGY,,utility_proxy,0.6,utility_proxy
P::J2189,J2189,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2190,J2190,ENTERGY ARKANSAS,,utility_proxy,0.6,utility_proxy
P::J2175,J2175,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2176,J2176,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2177,J2177,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2178,J2178,HOOSIER ENERGY,,utility_proxy,0.6,utility_proxy
P::J2204,J2204,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2196,J2196,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2197,J2197,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2198,J2198,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2183,J2183,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2184,J2184,ENTERGY ARKANSAS,,utility_proxy,0.6,utility_proxy
P::J2185,J2185,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2186,J2186,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2187,J2187,NORTHERN INDIANA PUBLIC SERVICE,,utility_proxy,0.6,utility_proxy
P::J2179,J2179,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2219,J2219,DAIRYLAND POWER COOPERATIVE,,utility_proxy,0.6,utility_proxy
P::J2236,J2236,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2237,J2237,ENTERGY ARKANSAS,,utility_proxy,0.6,utility_proxy
P::J2218,J2218,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2217,J2217,ENTERGY ARKANSAS,,utility_proxy,0.6,utility_proxy
P::J2216,J2216,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2215,J2215,NORTHERN INDIANA PUBLIC SERVICE,,utility_proxy,0.6,utility_proxy
P::J2230,J2230,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2229,J2229,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2228,J2228,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2211,J2211,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2210,J2210,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2209,J2209,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2201,J2201,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2207,J2207,BIG RIVERS ELECTRIC CORPORATION,,utility_proxy,0.6,utility_proxy
P::J2222,J2222,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2221,J2221,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2220,J2220,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2238,J2238,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2223,J2223,ENTERGY ARKANSAS,,utility_proxy,0.6,utility_proxy
P::J2224,J2224,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2225,J2225,BIG RIVERS ELECTRIC CORPORATION,,utility_proxy,0.6,utility_proxy
P::J2203,J2203,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2226,J2226,NORTHERN INDIANA PUBLIC SERVICE,,utility_proxy,0.6,utility_proxy
P::J2227,J2227,DAIRYLAND POWER COOPERATIVE,,utility_proxy,0.6,utility_proxy
P::J2202,J2202,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2200,J2200,NORTHERN STATES POWER,,utility_proxy,0.6,utility_proxy
P::J2208,J2208,CLECO POWER,,utility_proxy,0.6,utility_proxy
P::J2214,J2214,CLECO POWER,,utility_proxy,0.6,utility_proxy
P::J2265,J2265,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2266,J2266,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2267,J2267,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2268,J2268,ITC MIDWEST,,utility_proxy,0.6,utility_proxy
P::J2269,J2269,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2287,J2287,ENTERGY MISSISSIPPI,,utility_proxy,0.6,utility_proxy
P::J2288,J2288,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2289,J2289,ENTERGY MISSISSIPPI,,utility_proxy,0.6,utility_proxy
P::J2273,J2273,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2274,J2274,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2275,J2275,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2276,J2276,MISSOURI RIVER ENERGY SERVICES TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2278,J2278,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
P::J2295,J2295,HOOSIER ENERGY,,utility_proxy,0.6,utility_proxy
P::J2188,J2188,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2246,J2246,BIG RIVERS ELECTRIC CORPORATION,,utility_proxy,0.6,utility_proxy
P::J2245,J2245,CLECO POWER,,utility_proxy,0.6,utility_proxy
P::J2294,J2294,ARKANSAS ELECTRIC COOPERATIVE CORPORATION,,utility_proxy,0.6,utility_proxy
P::J2293,J2293,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2292,J2292,ENTERGY LOUISIANA,,utility_proxy,0.6,utility_proxy
P::J2291,J2291,OTTER TAIL POWER,,utility_proxy,0.6,utility_proxy
P::J2290,J2290,CLECO POWER,,utility_proxy,0.6,utility_proxy
P::J2296,J2296,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2304,J2304,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2303,J2303,AMERICAN TRANSMISSION,,utility_proxy,0.6,utility_proxy
P::J2286,J2286,OTTER TAIL POWER,,utility_proxy,0.6,utility_proxy
P::J2285,J2285,OTTER TAIL POWER,,utility_proxy,0.6,utility_proxy
P::J2284,J2284,ENTERGY MISSISSIPPI,,utility_proxy,0.6,utility_proxy
P::J2283,J2283,METC,,utility_proxy,0.6,utility_proxy
P::J2282,J2282,BIG RIVERS ELECTRIC CORPORATION,,utility_proxy,0.6,utility_proxy
P::J2297,J2297,ENTERGY MISSISSIPPI,,utility_proxy,0.6,utility_proxy
P::J2305,J2305,BIG RIVERS ELECTRIC CORPORATION,,utility_proxy,0.6,utility_proxy
P::J2243,J2243,ENTERGY TEXAS,,utility_proxy,0.6,utility_proxy
P::J2242,J2242,ENTERGY TEXAS,,utility_proxy,0.6,utility_proxy
P::J2241,J2241,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2240,J2240,ENTERGY ARKANSAS,,utility_proxy,0.6,utility_proxy
P::J2239,J2239,AMEREN MISSOURI,,utility_proxy,0.6,utility_proxy
P::J2256,J2256,MIDAMERICAN ENERGY,,utility_proxy,0.6,utility_proxy
P::J2255,J2255,DUKE ENERGY INDIANA,,utility_proxy,0.6,utility_proxy
P::J2213,J2213,NORTHERN INDIANA PUBLIC SERVICE,,utility_proxy,0.6,utility_proxy
P::J2235,J2235,EAST TEXAS ELECTRIC COOPERATIVE,,utility_proxy,0.6,utility_proxy
P::J2234,J2234,BIG RIVERS ELECTRIC CORPORATION,,utility_proxy,0.6,utility_proxy
P::J2233,J2233,AMEREN ILLINOIS,,utility_proxy,0.6,utility_proxy
