project_key,source_project_id,state_code,county_name,county_name_norm,multi_county,county_fips,poi_key,study_group,miso_zone,latitude,longitude,geographic_key,entity_key,match_method,match_score,match_confidence
P::B::G627,G627,MI,,,0,,UNKNOWN,,,,,,P::B::G627,unmatched,0.0,0.0
P::B::G921,G921,IL,montgomery,MONTGOMERY,0,17135,AMEREN COFFEEN PLANT 345KV,,,,,17135,P::B::G921,exact_state_county,100.0,1.0
P::B::G992,G992,IL,jasper,JASPER,0,17079,AEG NEWTON PLANT 345KV,,,,,17079,P::B::G992,exact_state_county,100.0,1.0
P::B::G794,G794,IL,jasper,JASPER,0,17079,AEG NEWTON PLANT 345KV,,,,,17079,P::B::G794,exact_state_county,100.0,1.0
P::B::G795,G795,IL,jasper,JASPER,0,17079,AEG NEWTON PLANT,,,,,17079,P::B::G795,exact_state_county,100.0,1.0
P::B::J591,J591,TX,newton,NEWTON,0,48351,COTTON WOOD,,,,,48351,P::B::J591,exact_state_county,100.0,1.0
P::B::J787,J787,MI,manistee,MANISTEE,0,26101,FILER CITY SUBSTATION,,,,,26101,P::B::J787,exact_state_county,100.0,1.0
P::B::J788,J788,MN,lincoln,LINCOLN,0,27081,BROOKINGS COUNTY LYON COUNTY,,,,,27081,P::B::J788,exact_state_county,100.0,1.0
P::B::J789,J789,MN,nobles,NOBLES,0,27105,FENTON SUBSTATION,,,,,27105,P::B::J789,exact_state_county,100.0,1.0
P::B::J950,J950,MN,murray,MURRAY,0,27101,XCEL CHANARAMBIE SUBSTATION,,,,,27101,P::B::J950,exact_state_county,100.0,1.0
P::B::J919A - Error,J919A - Error,LA,richland parish,RICHLAND,0,22083,OAK RIDGE DUNN 115KV LINE,,,,,22083,P::B::J919A - Error,exact_state_county,100.0,1.0
P::B::J790,J790,MN,pipestone,PIPESTONE,0,27117,4 MILES NORTH OF HOLLAND MN56139,,,,,27117,P::B::J790,exact_state_county,100.0,1.0
P::B::J792,J792,LA,washington parish,WASHINGTON,0,22117,230KV ADAMS CREEK SWITCHYARD,,,,,22117,P::B::J792,exact_state_county,100.0,1.0
P::B::nan,,MS,Lawrence,LAWRENCE,0,28077,GP MONTICELLO,,,,,28077,P::B::nan,existing_fips,100.0,1.0
P::B::100141,100141,,,,0,,,,,,,,P::B::100141,unmatched,0.0,0.0
P::B::J401,J401,IN,marion,MARION,0,18097,STOUT SOUTH SUBSTATION 138,,,,,18097,P::B::J401,existing_fips,100.0,1.0
P::B::J400,J400,MN,lyon,LYON,0,27083,LYON COUNTY 115KV SUBSTATION,,,,,27083,P::B::J400,existing_fips,100.0,1.0
