project_key,source_project_id,state_code,county_name,county_name_norm,matched_county_norm,county_fips,match_method,match_score,manual_review_status
P::B::G627,G627,MI,,,,,unmatched,0.0,needs_review
P::B::100141,100141,,,,,,unmatched,0.0,needs_review
P::B::J490,J490,SD,,,,,unmatched,0.0,needs_review
P::B::J292,J292,MB,churchill,CHURCHILL,,,unmatched,0.0,needs_review
P::B::L010,L010,MI,,,,,unmatched,0.0,needs_review
P::B::G309,G309,ON,windsor,WINDSOR,,,unmatched,0.0,needs_review
P::B::G347,G347,MI,,,,,unmatched,0.0,needs_review
P::B::G441,G441,ON,sarnia,SARNIA,,,unmatched,0.0,needs_review
P::B::APP-100103,APP-100103,LA,,,,,unmatched,0.0,needs_review
P::B::APP-100096,APP-100096,LA,,,,,unmatched,0.0,needs_review
P::B::APP-100087,APP-100087,ND,,,,,unmatched,0.0,needs_review
P::B::APP-100016,APP-100016,LA,,,,,unmatched,0.0,needs_review
P::B::E291,E291,TX,,,,,unmatched,0.0,needs_review
P::B::E0046,E0046,IN,Anderson,ANDERSON,,,unmatched,0.0,needs_review
P::M::S1165,S1165,WI,,,,,unmatched,0.0,needs_review
P::M::S1177,S1177,,,,,,unmatched,0.0,needs_review
P::M::S1176,S1176,,,,,,unmatched,0.0,needs_review
P::R1016,R1016,,,,,,unmatched,0.0,needs_review
P::M::S1166,S1166,MN,,,,,unmatched,0.0,needs_review
P::M::S1174,S1174,,,,,,unmatched,0.0,needs_review
P::M::S1171,S1171,,,,,,unmatched,0.0,needs_review
P::M::S1173,S1173,,Union,UNION,,,unmatched,0.0,needs_review
P::M::S1172,S1172,,Clinton,CLINTON,,,unmatched,0.0,needs_review
P::R1015,R1015,,,,,,unmatched,0.0,needs_review
P::M::S1175,S1175,,,,,,unmatched,0.0,needs_review
P::S1064,S1064,ND,,,,,unmatched,0.0,needs_review
P::S1017,S1017,WI,,,,,unmatched,0.0,needs_review
P::S1016,S1016,WI,,,,,unmatched,0.0,needs_review
P::S1014,S1014,ND,,,,,unmatched,0.0,needs_review
P::S1018,S1018,MI,,,,,unmatched,0.0,needs_review
P::R1052,R1052,,,,,,unmatched,0.0,needs_review
P::S1019,S1019,MI,,,,,unmatched,0.0,needs_review
P::S1013,S1013,MN,,,,,unmatched,0.0,needs_review
P::S1006,S1006,WI,,,,,unmatched,0.0,needs_review
P::S1005,S1005,WI,,,,,unmatched,0.0,needs_review
P::S1000,S1000,AR,,,,,unmatched,0.0,needs_review
P::S1004,S1004,IN,,,,,unmatched,0.0,needs_review
P::S1001,S1001,IN,,,,,unmatched,0.0,needs_review
P::S1012,S1012,,,,,,unmatched,0.0,needs_review
P::S1009,S1009,MN,,,,,unmatched,0.0,needs_review
P::S1008,S1008,IN,,,,,unmatched,0.0,needs_review
P::S1037,S1037,,,,,,unmatched,0.0,needs_review
P::S1042,S1042,,,,,,unmatched,0.0,needs_review
P::R1029,R1029,,,,,,unmatched,0.0,needs_review
P::R1033,R1033,,,,,,unmatched,0.0,needs_review
P::M::R5097,R5097,,Morehouse Parish,MOREHOUSE,,,unmatched,0.0,needs_review
P::M::J4213,J4213,,,,,,unmatched,0.0,needs_review
P::M::J4214,J4214,,,,,,unmatched,0.0,needs_review
P::M::J4215,J4215,,,,,,unmatched,0.0,needs_review
P::M::J4216,J4216,,,,,,unmatched,0.0,needs_review
P::M::J4217,J4217,,,,,,unmatched,0.0,needs_review
P::M::J4218,J4218,,,,,,unmatched,0.0,needs_review
P::M::J4219,J4219,,,,,,unmatched,0.0,needs_review
P::M::J4220,J4220,,,,,,unmatched,0.0,needs_review
P::M::J4221,J4221,,,,,,unmatched,0.0,needs_review
P::M::J4222,J4222,,,,,,unmatched,0.0,needs_review
P::M::J4223,J4223,,,,,,unmatched,0.0,needs_review
P::M::J4224,J4224,,,,,,unmatched,0.0,needs_review
P::M::J4225,J4225,,,,,,unmatched,0.0,needs_review
P::M::J4226,J4226,,Story,STORY,,,unmatched,0.0,needs_review
P::M::J4212,J4212,,,,,,unmatched,0.0,needs_review
P::M::J4175,J4175,,,,,,unmatched,0.0,needs_review
P::M::J4177,J4177,,,,,,unmatched,0.0,needs_review
P::M::J4178,J4178,,,,,,unmatched,0.0,needs_review
P::M::J4179,J4179,,,,,,unmatched,0.0,needs_review
P::M::J4180,J4180,,,,,,unmatched,0.0,needs_review
