project_key,berkeley_project_id,miso_project_id,match_method,match_confidence,review_status,berkeley_capacity_mw,miso_capacity_mw,capacity_difference_mw,capacity_conflict_flag
P::J1000,J1000,J1000,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1001,J1001,J1001,exact_normalized_queue_id,1.0,accepted,40.0,40.0,0.0,False
P::J1002,J1002,J1002,exact_normalized_queue_id,1.0,accepted,99.0,99.0,0.0,False
P::J1003,J1003,J1003,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1004,J1004,J1004,exact_normalized_queue_id,1.0,accepted,800.0,800.0,0.0,False
P::J1005,J1005,J1005,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1006,J1006,J1006,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1007,J1007,J1007,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1008,J1008,J1008,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1009,J1009,J1009,exact_normalized_queue_id,1.0,accepted,400.0,400.0,0.0,False
P::J1010,J1010,J1010,exact_normalized_queue_id,1.0,accepted,400.0,400.0,0.0,False
P::J1011,J1011,J1011,exact_normalized_queue_id,1.0,accepted,400.0,400.0,0.0,False
P::J1012,J1012,J1012,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1013,J1013,J1013,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1014,J1014,J1014,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1015,J1015,J1015,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1016,J1016,J1016,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1017,J1017,J1017,exact_normalized_queue_id,1.0,accepted,125.0,125.0,0.0,False
P::J1018,J1018,J1018,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1019,J1019,J1019,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1020,J1020,J1020,exact_normalized_queue_id,1.0,accepted,250.0,250.0,0.0,False
P::J1021,J1021,J1021,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1022,J1022,J1022,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1023,J1023,J1023,exact_normalized_queue_id,1.0,accepted,82.0,82.0,0.0,False
P::J1024,J1024,J1024,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1025,J1025,J1025,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1026,J1026,J1026,exact_normalized_queue_id,1.0,accepted,400.0,400.0,0.0,False
P::J1027,J1027,J1027,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1028,J1028,J1028,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1029,J1029,J1029,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1030,J1030,J1030,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1031,J1031,J1031,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1032,J1032,J1032,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1033,J1033,J1033,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1034,J1034,J1034,exact_normalized_queue_id,1.0,accepted,225.0,225.0,0.0,False
P::J1035,J1035,J1035,exact_normalized_queue_id,1.0,accepted,75.0,75.0,0.0,False
P::J1036,J1036,J1036,exact_normalized_queue_id,1.0,accepted,130.0,130.0,0.0,False
P::J1037,J1037,J1037,exact_normalized_queue_id,1.0,accepted,15.0,15.0,0.0,False
P::J1038,J1038,J1038,exact_normalized_queue_id,1.0,accepted,32.5,32.5,0.0,False
P::J1039,J1039,J1039,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1040,J1040,J1040,exact_normalized_queue_id,1.0,accepted,250.0,250.0,0.0,False
P::J1041,J1041,J1041,exact_normalized_queue_id,1.0,accepted,20.0,20.0,0.0,False
P::J1042,J1042,J1042,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1043,J1043,J1043,exact_normalized_queue_id,1.0,accepted,374.4,374.4,0.0,False
P::J1044,J1044,J1044,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1045,J1045,J1045,exact_normalized_queue_id,1.0,accepted,20.0,20.0,0.0,False
P::J1046,J1046,J1046,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1047,J1047,J1047,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1048,J1048,J1048,exact_normalized_queue_id,1.0,accepted,250.0,250.0,0.0,False
P::J1049,J1049,J1049,exact_normalized_queue_id,1.0,accepted,250.0,250.0,0.0,False
P::J1050,J1050,J1050,exact_normalized_queue_id,1.0,accepted,225.0,225.0,0.0,False
P::J1051,J1051,J1051,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1052,J1052,J1052,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1053,J1053,J1053,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1054,J1054,J1054,exact_normalized_queue_id,1.0,accepted,30.0,30.0,0.0,False
P::J1055,J1055,J1055,exact_normalized_queue_id,1.0,accepted,144.0,144.0,0.0,False
P::J1056,J1056,J1056,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1057,J1057,J1057,exact_normalized_queue_id,1.0,accepted,125.0,125.0,0.0,False
P::J1058,J1058,J1058,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1059,J1059,J1059,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
