project_key,study_cycle,study_group,study_phase,upgrade_cost_usd,upgrade_cost_per_mw,capacity_mw,capacity_reduction_pct,restudy_flag,report_date,effective_date,available_date,entity_key,geographic_key,source_name,source_url,retrieved_at,match_method,match_confidence
P::J1000,DPP-2018-APR,East (ATC),GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1000,NELSON DEWEY LANCASTER 138KV LINE,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1001,DPP-2018-APR,West,GIA,,,40.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1001,BUFFALO RIDGE 115KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1002,DPP-2018-APR,East (ATC),GIA,,,99.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1002,WAUTOMA 138KV SWITCHYARD,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1003,DPP-2018-APR,East (ATC),GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1003,NORTH BEAVER DAM 69KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1004,DPP-2018-APR,East (ITC),GIA,,,800.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1004,KENOWA NELSON ROAD 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1005,DPP-2018-APR,East (ITC),GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1005,MURPHY 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1006,DPP-2018-APR,West,GIA,,,100.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1006,BROOKINGS YANKEE 115KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1007,DPP-2018-APR,South,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1007,MARION MARKED TREE 161KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1008,DPP-2018-APR,West,GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1008,BLUE EARTH IPL BLUE EARTH 69KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1009,DPP-2018-APR,East (ATC),GIA,,,400.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1009,PLEASANT PRAIRIE RACINE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1010,DPP-2018-APR,East (ATC),GIA,,,400.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1010,ARCADIAN ZION 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1011,DPP-2018-APR,East (ATC),GIA,,,400.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1011,ARCADIAN ZION 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1012,DPP-2018-APR,Central,GIA,,,100.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1012,JACKSONVILLE IND PARK WINCHESTER 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1013,DPP-2018-APR,East (ITC),GIA,,,80.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1013,BATAVIA 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1014,DPP-2018-APR,East (ITC),GIA,,,80.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1014,TOMPKINS BLACKSTONE 138KV LINE,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1015,DPP-2018-APR,East (ITC),GIA,,,80.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1015,GAYLORD 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1016,DPP-2018-APR,Central,GIA,,,50.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1016,FRANCISCO TOYOTA Z75 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1017,DPP-2018-APR,Central,GIA,,,125.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1017,SPRINGBORO 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1018,DPP-2018-APR,Central,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1018,PERU SOUTH EAST GREENTOWN 230KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1019,DPP-2018-APR,Central,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1019,OVERTON MCCREDIE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1020,DPP-2018-APR,South,GIA,,,250.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1020,MISSIONARY 230KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1021,DPP-2018-APR,Central,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1021,GOOSE CREEK 345KV SWITCHYARD,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1022,DPP-2018-APR,Central,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1022,WEEDMAN SUBSTATION 138KV BUS,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1023,DPP-2018-APR,South,GIA,,,82.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1023,OSCEOLA WILSON 161KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1024,DPP-2018-APR,West,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1024,MARYVILLE CLARINDA 161KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1025,DPP-2018-APR,Central,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1025,ZACHARY MAYWOOD 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
