project_key,outcome_type,outcome_date,outcome_date_precision,last_known_active_date,first_known_withdrawn_date,outcome_source,outcome_confidence
P::B::100141,withdrawn,2025-12-31,interval,,2025-12-31,Berkeley,medium
P::B::APP-100016,withdrawn,2025-08-29,day,,2025-12-31,Berkeley,high
P::B::APP-100087,withdrawn,2025-09-08,day,,2025-12-31,Berkeley,high
P::B::APP-100096,withdrawn,2025-08-29,day,,2025-12-31,Berkeley,high
P::B::APP-100103,withdrawn,2025-08-29,day,,2025-12-31,Berkeley,high
P::B::APP-100245,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::APP-100248,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::APP-100259,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0002,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0003,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0004,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0005,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0006,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0007,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0008,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0009,withdrawn,2025-11-26,day,,2025-12-31,Berkeley,high
P::B::E0010,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0011,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0012,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0013,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0014,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0015,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0016,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0017,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0018,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0019,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E002,operational,2015-07-13,day,,,Berkeley,high
P::B::E0020,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0021,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0022,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0023,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0024,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0025,withdrawn,2025-11-12,day,,2025-12-31,Berkeley,high
P::B::E0026,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0027,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::E0028,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
