model,run_name,split,status,pr_auc,pr_lift,roc_auc,log_loss,brier,precision_at_10pct,withdrawn_mw_capture_at_10pct,n_features,reason
ft_transformer,ft_transformer_electrum,val,ok,0.0730382318894365,1.763502816344946,0.6413338415325838,0.8093294076628623,0.2977409942690931,0.0958083832335329,0.1961483594864479,64.0,
nasnet_cnn,nasnet_cnn,val,ok,0.0429400503635406,,0.5034212470054626,0.633906900882721,,,,,WSL TF GPU: 2 frozen epochs (NASNetLarge); Windows kernel reloaded history (no CPU train). Finetune stopped after frozen checkpoint.
logistic,logistic_l2,val,ok,0.0370350066539088,0.894207551962495,0.4684371965551351,0.2916422645512057,0.0756910693458628,0.0239520958083832,0.0448339107397595,85.0,
survival,survival_discrete_logistic,val,ok,0.0408651333919869,0.9866856845079752,0.4413846614576244,0.2024423982009762,0.0455570865631017,0.0479041916167664,0.0738740574689219,,
lightgbm,lightgbm_electrum,val,ok,0.0377457369673976,0.9113680838794846,0.4428366593159274,0.2137389918950533,0.0466041639483232,0.0,0.0,85.0,
xgboost,xgboost_electrum,val,ok,0.0989521044868608,2.3891913923929,0.7666866316372184,0.2129952759778354,0.0464420813366167,0.1257485029940119,0.2808233136335846,85.0,
catboost,catboost_electrum,val,ok,0.0736680789750887,1.7787104285869264,0.64423783724919,0.1927281533960739,0.0474014736659165,0.0838323353293413,0.1630324026900346,64.0,
timesfm,timesfm,val,ok,,,,,,,,,system forecast — not project-row PR-AUC
tabicl,tabicl,val,ok,0.0434757410998289,,0.4958345811439928,0.3529389856907956,0.0910531944798772,,,,
tabpfn,tabpfn,val,skipped,,,,,,,,,"TABPFN_TOKEN not set. Add TABPFN_TOKEN=... to repo-root .env (or export TABPFN_TOKEN=...), then re-run."
tabm,tabm_electrum,val,skipped,,,,,,,,,tabm/torch not installed: No module named 'tabm'
