model,run_name,split,status,mae,rmse,median_ae,pinball80,companion_pr_auc,delayed_mw_capture_at_10pct,beats_persist_mae,n_features,reason
catboost,catboost,val,ok,12.039560702226009,21.0627905014444,7.317897003597533e-07,9.357125356370435,0.5519748860631689,0.1937552642856087,True,62.0,
xgboost,xgboost,val,ok,12.053401677809688,21.08687480761414,0.0013588743167929,9.370279317595909,0.3476316845492695,0.1130879375821967,False,92.0,
seq_cnn,seq_cnn,val,ok,12.084156204872116,21.01112138207277,0.1902420073747635,9.34319886140264,0.4048152626877545,0.1491436762076456,False,5.0,
ft_transformer,ft_transformer,val,ok,12.084662516620822,21.05945072996322,0.1784954294562339,9.366877387181292,0.3509647037707259,0.079263517207749,False,62.0,
tabm,tabm,val,ok,12.095970355313575,20.98913303314609,0.2340999692678451,9.333542563261524,0.2826951218251452,0.0513498736571453,False,62.0,
lightgbm,lightgbm,val,ok,12.11860840071652,20.896059427664326,0.364716562982609,9.293493039252969,0.4884195761559355,0.1589851196193459,False,92.0,
nasnet_cnn,nasnet_cnn,val,ok,12.185008248752531,20.77063946095056,0.8489167392253876,9.249698829176555,0.3696841541691018,0.1085809702540156,False,92.0,
logistic,logistic,val,ok,12.3411061070992,21.141951040165463,0.778236547124945,9.493319884793332,0.3258355795253905,0.1125264137839315,False,92.0,
survival,survival,val,ok,21.072992645516912,33.15324717142988,15.368569402103684,10.922320391224686,0.6322880090703177,0.110915727099434,False,66.0,
timesfm,timesfm,val,ok,,0.0,,,,,,,
tabicl,tabicl,val,not_competitive,12.216732169549198,20.9473275888339,0.6705983579158783,9.337678794827193,0.2544798581162411,0.0405479290115703,False,62.0,val MAE 12.217 worse than persist 12.053
tabpfn,tabpfn,val,skipped,,,,,,,,,TabPFN license/token required (set TABPFN_TOKEN); skipped
